symbol	GSM1855319	GSM1855320	GSM1855322	GSM2195410	GSM2195411	GSM2195412	GSM2195413	GSM2195414	GSM2195415	GSM2226787	GSM2226790	GSM2226793	GSM2477390	GSM2477391	GSM2477392	GSM2477393	GSM2700244	GSM2700242	GSM2774691	GSM2774693	GSM2774695	GSM3685852	GSM3936838	GSM3936839	GSM3936841
hsa-miR-1	6.698008378	6.867173359	6.630452374	7.258542111	6.909362629	6.787325291	7.197601304	6.680030718	6.947850739	5.828059399	5.863858454	5.799832797	5.744798935	5.748119168	5.761240753	5.747557102	6.90679427	7.010163775	5.825098866	5.821788506	5.828135216	8.172621021	6.244869445	6.26079325	6.029062533
hsa-miR-100	6.649826183	6.749252196	6.720013923	5.849884953	6.093283171	6.426921072	5.956280257	6.371370065	6.293819006	5.785788774	5.770220157	5.761056965	6.073884468	6.030469002	6.239141234	6.072299363	6.90679427	7.010163775	5.823872462	5.822448862	5.830856352	8.172621021	6.099438386	6.210670998	6.016201455
hsa-miR-100*	5.828718566	5.828718566	5.82812974	5.745150737	5.861440105	5.823358643	5.772038294	5.787584599	5.861440105	5.846917975	5.860523322	5.889892909	5.764804166	5.784857404	5.714060095	5.762774409	6.380580217	6.42905556	5.792418728	5.806479919	5.845917488	7.029822943	5.984525726	5.979056709	6.019914165
hsa-miR-101	8.966000111	8.392996269	9.025577396	5.745150737	5.720533309	5.753351764	6.083015813	5.782465036	5.771097783	6.673005579	6.599684743	6.52808791	5.740892304	5.746418919	5.858061181	5.755123816	6.821673995	7.372434089	7.115122054	6.921393781	7.12139767	11.15243869	6.490415359	6.468207954	6.417696323
hsa-miR-101*	5.836907325	5.844951022	5.843931138	5.762824357	5.728141667	5.757137036	5.927108898	6.442406148	6.608724562	6.562878652	6.457657909	5.862022688	5.719049148	5.722680682	5.746170415	5.733637266	5.888713459	5.753286658	8.39041961	7.758724383	8.43104468	5.954695341	7.177459009	7.219206866	7.034842535
hsa-miR-103	5.995048148	6.12594285	6.050651994	5.73171391	5.764514506	5.742235778	5.753351764	5.782465036	5.825321996	5.880363938	6.346806274	5.87949447	5.710151818	5.693275652	5.729012303	5.709013619	5.824439867	5.85229218	5.87141508	5.87141508	5.925155156	5.983118192	5.869613067	5.846787979	5.905630066
hsa-miR-103-2*	6.310280456	6.307361693	6.071110468	5.71880901	5.759692475	5.750117434	5.720145016	5.733164867	5.722031857	6.231660715	6.339210669	6.226987077	5.711101937	5.708031838	5.742613932	5.713388761	6.08923075	6.01967388	7.397815496	8.609661509	8.117691283	7.235147412	6.06788762	6.970205172	5.784326789
hsa-miR-103-as	5.858974684	5.811134602	5.808577059	5.70838708	5.816525357	5.753351764	5.743342743	5.84708254	5.771097783	5.770189052	5.759815538	5.764887976	6.070211868	5.846637417	6.049669828	5.995658461	7.297226518	7.356382949	10.33101751	10.33598638	10.11316632	7.815870301	5.809532204	5.804527511	5.752933277
hsa-miR-105	6.284478299	6.325486853	6.549873974	5.766065949	5.836179549	5.797698469	5.802620256	5.791422325	5.816416727	6.079026926	5.829029225	6.043784697	5.742343046	5.768257627	5.738027652	5.733724766	8.979283687	9.373482538	5.828082186	5.782716022	5.804559455	8.820687592	5.765011259	5.691064711	5.839490334
hsa-miR-105*	12.22011119	12.03582714	12.14291536	12.94546623	12.576592	13.47302361	13.10195474	12.91291224	13.47302361	5.802349331	5.802349331	5.782235942	6.444071678	6.640408395	6.108203457	6.494936377	9.35689317	9.497919334	5.863663315	5.802168439	5.850170331	8.611920084	5.910012409	5.823907806	5.741014913
